contract_id,start_date_key,planned_end_key,end_date_key,region_id,contractor_id,status_id,contract_value,pct_complete,is_on_time
C0001,2024-02-08,2024-07-21,2024-07-21,R01,K11,2,633848.16,1.0,1
C0002,2024-04-29,2025-04-23,2025-04-23,R01,K04,2,1056344.1,1.0,1
C0003,2024-03-26,2024-12-31,2025-01-11,R08,K06,2,449567.89,1.0,0
C0004,2024-04-08,2025-01-01,2025-01-01,R03,K11,2,294049.32,1.0,1
C0005,2024-04-23,2025-04-17,2025-04-17,R03,K01,2,407217.38,1.0,1
C0006,2024-02-29,2024-07-19,2024-07-19,R03,K01,2,445442.49,1.0,1
C0007,2024-03-12,2024-05-24,2024-05-24,R01,K03,2,259477.93,1.0,1
C0008,2024-04-23,2024-11-09,2024-11-09,R07,K04,2,663564.5,1.0,1
C0009,2024-04-26,2024-10-14,2024-10-14,R01,K02,2,424125.9,1.0,1
C0010,2024-05-02,2024-10-02,2024-10-02,R05,K04,2,623818.92,1.0,1
C0011,2024-04-29,2024-07-01,2024-07-01,R04,K02,2,243959.83,1.0,1
C0012,2024-03-21,2025-03-07,2025-03-07,R02,K03,2,336650.53,1.0,1
C0013,2024-03-30,2024-09-07,2024-09-07,R06,K06,2,1824144.0,1.0,1
C0014,2024-04-13,2025-01-06,2025-01-06,R05,K10,2,444175.04,1.0,1
C0015,2024-03-27,2025-02-15,2025-02-15,R04,K06,2,312376.84,1.0,1
C0016,2024-05-16,2024-07-22,2024-07-22,R01,K05,2,796028.0,1.0,1
C0017,2024-03-24,2024-11-14,2025-01-06,R01,K03,2,207667.17,1.0,0
C0018,2024-04-07,2024-11-01,2024-12-27,R03,K01,2,1107788.53,1.0,0
C0019,2024-05-01,2024-10-07,2024-10-07,R05,K07,2,223699.25,1.0,1
C0020,2024-03-14,2024-05-26,2024-05-26,R02,K09,2,186378.97,1.0,1
C0021,2024-03-31,2024-11-27,2024-11-27,R01,K07,2,284720.75,1.0,1
C0022,2024-05-27,2025-01-26,2025-01-26,R08,K04,2,452296.65,1.0,1
C0023,2024-05-13,2025-05-06,2025-05-06,R02,K05,2,256329.33,1.0,1
C0024,2024-04-21,2024-08-20,2024-08-20,R03,K02,2,900561.79,1.0,1
C0025,2024-05-31,2024-12-17,2024-12-17,R03,K11,2,329140.94,1.0,1
C0026,2024-04-09,2024-11-08,2024-11-08,R03,K04,2,280835.62,1.0,1
C0027,2024-04-30,2024-10-29,2024-10-29,R08,K04,2,714250.23,1.0,1
C0028,2024-04-23,2024-12-25,2025-01-13,R08,K11,2,1333811.87,1.0,0
C0029,2024-04-05,2025-01-09,2025-01-09,R04,K06,2,458001.03,1.0,1
C0030,2024-06-11,2025-06-02,2025-06-02,R06,K01,2,1002665.51,1.0,1
C0031,2024-05-26,2024-07-29,2024-09-08,R04,K02,2,212860.3,1.0,0
C0032,2024-05-31,2025-03-26,2025-03-26,R03,K10,2,152096.26,1.0,1
C0033,2024-05-09,2025-02-09,2025-03-01,R05,K08,2,436348.33,1.0,0
C0034,2024-05-22,2025-03-20,2025-03-20,R06,K09,2,871374.74,1.0,1
C0035,2024-03-18,2024-10-19,2024-10-19,R05,K02,2,725688.09,1.0,1
C0036,2024-05-29,2025-01-20,2025-01-20,R02,K09,2,1560535.59,1.0,1
C0037,2024-05-29,2025-05-08,2025-05-08,R04,K03,2,78782.6,1.0,1
C0038,2024-05-19,2024-11-13,2024-12-05,R08,K08,2,885501.88,1.0,0
C0039,2024-06-19,2025-04-23,2025-04-23,R04,K06,2,375309.99,1.0,1
C0040,2024-05-05,2025-05-03,2025-05-03,R05,K12,2,418184.44,1.0,1
C0041,2024-06-06,2025-01-13,2025-02-20,R01,K02,2,593221.83,1.0,0
C0042,2024-05-14,2024-11-22,2024-11-22,R01,K04,2,342327.25,1.0,1
C0043,2024-05-24,2024-11-17,2024-11-17,R04,K01,2,445495.58,1.0,1
C0044,2024-06-20,2025-04-26,2025-04-26,R04,K03,2,264396.1,1.0,1
C0045,2024-04-03,2024-08-26,2024-08-26,R06,K03,2,1600031.71,1.0,1
C0046,2024-04-18,2024-09-03,2024-09-03,R04,K04,2,437739.88,1.0,1
C0047,2024-06-14,2025-05-18,2025-05-18,R04,K08,2,258414.3,1.0,1
C0048,2024-06-18,2025-06-04,2025-06-04,R02,K10,2,787507.35,1.0,1
C0049,2024-05-17,2024-10-18,2024-10-18,R02,K07,2,1184152.28,1.0,1
C0050,2024-06-06,2024-12-15,2024-12-15,R01,K09,2,374376.88,1.0,1
C0051,2024-06-04,2025-04-24,2025-04-24,R07,K08,2,427661.38,1.0,1
C0052,2024-05-09,2024-10-11,2024-10-11,R05,K02,2,364471.16,1.0,1
C0053,2024-04-09,2024-08-14,2024-08-14,R02,K08,2,251762.85,1.0,1
C0054,2024-06-28,2025-06-22,2025-06-22,R01,K04,2,154791.75,1.0,1
C0055,2024-05-19,2024-12-09,2024-12-09,R02,K01,2,224068.23,1.0,1
C0056,2024-07-12,2025-05-16,2025-05-16,R06,K03,2,1110183.11,1.0,1
C0057,2024-05-03,2025-02-08,2025-02-08,R05,K03,2,368145.15,1.0,1
C0058,2024-06-06,2025-01-07,2025-01-07,R04,K01,2,220507.9,1.0,1
C0059,2024-06-19,2024-11-22,2024-11-22,R04,K08,2,947580.77,1.0,1
C0060,2024-05-27,2025-05-07,2025-05-07,R08,K04,2,354906.29,1.0,1
C0061,2024-05-14,2025-01-15,2025-01-15,R02,K01,2,192548.47,1.0,1
C0062,2024-05-02,2024-12-12,2024-12-12,R03,K07,2,215899.25,1.0,1
C0063,2024-05-29,2025-05-13,2025-05-13,R03,K07,2,726306.78,1.0,1
C0064,2024-04-04,2024-07-08,2024-07-08,R02,K01,2,355337.75,1.0,1
C0065,2024-05-31,2024-08-02,2024-10-08,R05,K04,2,183087.46,1.0,0
C0066,2024-06-03,2024-08-03,2024-08-03,R07,K01,2,1108987.37,1.0,1
C0067,2024-06-27,2025-02-03,2025-02-03,R04,K12,2,305884.71,1.0,1
C0068,2024-05-02,2025-02-14,2025-02-14,R01,K11,2,910579.83,1.0,1
C0069,2024-06-26,2025-06-02,2025-06-02,R08,K04,2,442269.54,1.0,1
C0070,2024-07-09,2025-04-03,2025-04-03,R02,K07,2,319400.05,1.0,1
C0071,2024-05-29,2024-12-24,2025-03-01,R02,K10,2,602854.54,1.0,0
C0072,2024-06-17,2025-02-10,2025-02-10,R03,K09,2,459781.29,1.0,1
C0073,2024-05-01,2025-02-01,2025-02-01,R02,K02,2,620598.81,1.0,1
C0074,2024-06-24,2025-01-07,2025-01-07,R01,K07,2,160035.79,1.0,1
C0075,2024-06-23,2025-01-30,2025-02-14,R04,K04,2,589344.39,1.0,0
C0076,2024-06-23,2024-12-27,2025-01-26,R03,K05,2,203683.28,1.0,0
C0077,2024-04-18,2024-10-31,2024-10-31,R03,K06,2,331565.53,1.0,1
C0078,2024-07-13,2024-09-25,2024-09-25,R06,K03,2,225749.34,1.0,1
C0079,2024-07-17,2024-12-31,2024-12-31,R07,K02,2,1038326.93,1.0,1
C0080,2024-06-17,2024-11-13,2024-11-13,R05,K01,2,460152.27,1.0,1
C0081,2024-06-09,2024-12-22,2024-12-22,R02,K03,2,331934.86,1.0,1
C0082,2024-05-25,2024-07-27,2024-07-27,R08,K12,2,474462.5,1.0,1
C0083,2024-07-15,2024-09-15,2024-09-15,R01,K02,2,101539.1,1.0,1
C0084,2024-05-19,2024-11-20,2024-11-20,R03,K10,2,276153.89,1.0,1
C0085,2024-07-22,2025-04-25,2025-04-25,R07,K09,2,1172177.74,1.0,1
C0086,2024-05-18,2025-01-02,2025-01-02,R08,K01,2,445419.16,1.0,1
C0087,2024-05-19,2024-07-19,2024-07-19,R08,K05,2,243051.11,1.0,1
C0088,2024-06-25,2025-01-14,2025-01-14,R02,K04,2,295586.08,1.0,1
C0089,2024-06-08,2024-11-22,2024-11-22,R04,K01,2,432493.63,1.0,1
C0090,2024-06-09,2025-01-03,2025-01-03,R03,K05,2,527047.75,1.0,1
C0091,2024-05-21,2024-12-01,2025-01-18,R02,K12,2,179201.37,1.0,0
C0092,2024-06-11,2024-11-05,2024-11-05,R01,K02,2,819650.03,1.0,1
C0093,2024-06-22,2025-04-23,2025-04-23,R08,K11,2,571350.8,1.0,1
C0094,2024-05-29,2025-01-25,2025-01-25,R02,K11,2,1225337.33,1.0,1
C0095,2024-07-12,2025-05-18,2025-05-18,R06,K01,2,1246336.07,1.0,1
C0096,2024-07-22,2025-04-03,2025-04-03,R04,K02,2,360495.57,1.0,1
C0097,2024-06-23,2025-01-13,2025-01-13,R08,K03,2,294130.79,1.0,1
C0098,2024-06-16,2025-03-31,2025-03-31,R04,K03,2,298311.68,1.0,1
C0099,2024-06-20,2025-04-27,2025-04-27,R01,K05,2,356103.26,1.0,1
C0100,2024-06-19,2025-05-30,2025-05-30,R04,K11,2,606357.34,1.0,1
C0101,2024-07-18,2025-07-02,2025-07-02,R07,K01,2,1785225.77,1.0,1
C0102,2024-06-10,2024-11-07,2024-11-07,R03,K12,2,144249.81,1.0,1
C0103,2024-05-17,2025-03-24,2025-03-24,R07,K08,2,231701.08,1.0,1
C0104,2024-05-11,2025-04-07,2025-04-07,R01,K06,2,528273.68,1.0,1
C0105,2024-07-11,2025-02-06,2025-02-06,R01,K12,2,343829.72,1.0,1
C0106,2024-07-01,2025-04-05,2025-04-05,R01,K03,2,230025.38,1.0,1
C0107,2024-06-26,2024-11-21,2024-11-21,R01,K06,2,188686.13,1.0,1
C0108,2024-06-06,2025-02-04,2025-02-04,R06,K03,2,1873896.98,1.0,1
C0109,2024-05-30,2025-01-20,2025-01-20,R01,K02,2,674822.26,1.0,1
C0110,2024-06-26,2025-05-06,2025-05-06,R04,K02,2,270188.09,1.0,1
C0111,2024-08-07,2025-01-24,2025-01-24,R06,K06,2,1007130.28,1.0,1
C0112,2024-08-26,2025-03-17,2025-03-17,R04,K06,2,333482.38,1.0,1
C0113,2024-06-16,2024-12-04,2024-12-04,R07,K10,2,466971.89,1.0,1
C0114,2024-07-16,2025-04-24,2025-04-24,R08,K01,2,316464.83,1.0,1
C0115,2024-08-19,2025-02-19,2025-02-19,R01,K08,2,195809.04,1.0,1
C0116,2024-08-12,2024-10-20,2024-10-20,R01,K01,2,466490.56,1.0,1
C0117,2024-09-04,2025-05-14,2025-05-14,R05,K03,2,310132.67,1.0,1
C0118,2024-07-21,2025-06-26,2025-06-26,R04,K06,2,143999.5,1.0,1
C0119,2024-08-16,2025-02-23,2025-02-23,R07,K06,2,928399.5,1.0,1
C0120,2024-07-16,2025-01-24,2025-01-24,R01,K07,2,317498.48,1.0,1
C0121,2024-08-10,2025-07-10,2025-07-10,R08,K08,2,558468.93,1.0,1
C0122,2024-08-22,2024-12-07,2024-12-07,R03,K05,2,239739.84,1.0,1
C0123,2024-07-31,2025-05-11,2025-05-11,R08,K02,2,1869147.52,1.0,1
C0124,2024-07-29,2024-11-17,2024-12-17,R03,K12,2,610622.53,1.0,0
C0125,2024-07-18,2024-09-16,2024-09-16,R05,K01,2,884689.47,1.0,1
C0126,2024-10-05,2025-09-13,2025-09-13,R02,K03,2,265742.88,1.0,1
C0127,2024-09-21,2025-05-19,2025-05-19,R01,K03,2,622701.19,1.0,1
C0128,2024-08-08,2024-11-12,2024-11-12,R06,K10,2,364369.87,1.0,1
C0129,2024-09-17,2025-07-08,2025-07-08,R03,K12,2,240909.85,1.0,1
C0130,2024-07-24,2024-09-22,2024-09-22,R04,K02,2,438770.28,1.0,1
C0131,2024-10-11,2025-04-12,2025-04-12,R05,K02,2,712787.91,1.0,1
C0132,2024-07-20,2025-03-12,2025-03-12,R04,K04,2,531070.65,1.0,1
C0133,2024-09-05,2025-06-27,2025-06-27,R06,K03,2,391349.49,1.0,1
C0134,2024-10-19,2025-02-03,2025-02-03,R01,K01,2,493984.52,1.0,1
C0135,2024-08-24,2024-11-12,2024-11-12,R06,K02,2,1331102.03,1.0,1
C0136,2024-09-22,2025-05-11,2025-05-11,R03,K01,2,204696.74,1.0,1
