tender_id,identified_date_key,decision_date_key,region_id,contractor_id,stage_id,reached_stage_id,bid_value,outcome,is_won,is_decided,contract_id
T0001,2025-02-23,2025-05-27,R05,K11,5,3,250420.29,Lost,0,1,
T0002,2024-02-26,2024-05-16,R04,K09,5,3,754436.87,Lost,0,1,
T0003,2024-05-05,2024-07-19,R03,K05,5,3,530697.01,Lost,0,1,
T0004,2024-02-20,2024-05-19,R06,K12,5,3,533679.22,Lost,0,1,
T0005,2025-01-12,2025-04-02,R08,K09,5,3,652906.79,Lost,0,1,
T0006,2025-01-19,2025-03-18,R01,K02,4,3,200699.35,Won,1,1,C0217
T0007,2024-07-16,2024-09-19,R02,K09,5,3,445451.25,Lost,0,1,
T0008,2024-02-24,2024-04-20,R08,K08,5,3,997213.06,Lost,0,1,
T0009,2025-06-04,2025-06-30,R01,K12,5,3,541925.18,Lost,0,1,
T0010,2024-04-04,2024-05-16,R01,K04,5,3,630217.27,Lost,0,1,
T0011,2025-03-23,2025-06-15,R01,K01,4,3,682916.12,Won,1,1,C0273
T0012,2024-01-31,2024-03-01,R02,K08,5,3,212079.11,Lost,0,1,
T0013,2025-11-12,,R06,K02,3,3,497024.41,In progress,0,0,
T0014,2025-10-16,,R03,K06,3,3,656447.7,In progress,0,0,
T0015,2024-01-27,2024-04-07,R02,K09,5,3,755240.52,Lost,0,1,
T0016,2025-02-04,2025-04-27,R02,K05,5,3,406717.61,Lost,0,1,
T0017,2025-02-01,2025-04-05,R05,K03,4,3,815414.49,Won,1,1,C0226
T0018,2024-11-13,2024-12-24,R01,K09,5,3,654857.91,Lost,0,1,
T0019,2024-01-29,2024-04-08,R05,K03,5,3,257454.52,Lost,0,1,
T0020,2025-01-22,2025-03-13,R07,K12,5,3,1062736.73,Lost,0,1,
T0021,2025-10-29,,R04,K11,3,3,267779.83,In progress,0,0,
T0022,2025-05-03,2025-05-30,R02,K04,4,3,205220.12,Won,1,1,C0298
T0023,2024-05-27,2024-08-10,R08,K05,5,3,561312.21,Lost,0,1,
T0024,2025-02-18,2025-05-11,R04,K11,5,2,245855.8,Lost,0,1,
T0025,2024-02-13,2024-04-12,R08,K08,4,3,885501.88,Won,1,1,C0038
T0026,2025-07-04,2025-09-22,R08,K07,5,3,535637.73,Lost,0,1,
T0027,2024-03-28,2024-06-07,R03,K08,5,3,386644.08,Lost,0,1,
T0028,2024-02-25,2024-03-30,R02,K08,4,3,251762.85,Won,1,1,C0053
T0029,2024-01-20,2024-02-22,R02,K09,4,3,186378.97,Won,1,1,C0020
T0030,2025-04-29,2025-06-01,R03,K05,5,3,92743.38,Lost,0,1,
T0031,2025-03-07,2025-04-05,R02,K09,5,3,922367.8,Lost,0,1,
T0032,2024-09-08,2024-11-19,R04,K10,5,3,436932.65,Lost,0,1,
T0033,2025-10-31,,R04,K11,3,3,871736.11,In progress,0,0,
T0034,2024-08-19,2024-09-19,R06,K04,4,3,1254361.66,Won,1,1,C0150
T0035,2025-12-18,2025-12-31,R05,K08,5,1,466477.39,Lost,0,1,
T0036,2024-09-15,2024-11-06,R08,K07,5,3,409008.32,Lost,0,1,
T0037,2025-11-16,,R07,K12,3,3,2581439.14,In progress,0,0,
T0038,2025-09-06,,R05,K09,3,3,370797.98,In progress,0,0,
T0039,2024-03-30,2024-06-03,R05,K08,5,3,553529.34,Lost,0,1,
T0040,2025-10-23,,R05,K09,3,3,254482.64,In progress,0,0,
T0041,2024-07-23,2024-08-24,R04,K12,5,1,576601.93,Lost,0,1,
T0042,2024-07-07,2024-08-03,R02,K11,5,2,171669.05,Lost,0,1,
T0043,2024-06-19,2024-09-18,R04,K08,5,3,402700.66,Lost,0,1,
T0044,2024-05-22,2024-07-10,R05,K07,5,3,462742.12,Lost,0,1,
T0045,2024-09-30,2024-10-31,R07,K12,5,1,493651.34,Lost,0,1,
T0046,2025-02-12,2025-03-09,R04,K10,5,3,63381.99,Lost,0,1,
T0047,2024-03-06,2024-05-16,R07,K01,4,3,1108987.37,Won,1,1,C0066
T0048,2024-04-21,2024-06-08,R06,K09,5,3,944296.33,Lost,0,1,
T0049,2025-06-12,2025-07-04,R03,K01,4,3,274827.96,Won,1,1,C0319
T0050,2024-02-06,2024-05-14,R08,K08,5,3,388611.81,Lost,0,1,
T0051,2025-08-03,2025-09-02,R04,K03,5,3,341757.85,Lost,0,1,
T0052,2024-09-25,2024-10-20,R06,K09,5,3,600086.42,Lost,0,1,
T0053,2024-09-23,2024-11-19,R08,K12,5,3,837387.07,Lost,0,1,
T0054,2025-11-02,,R07,K12,3,3,435463.76,In progress,0,0,
T0055,2025-11-24,2025-12-31,R08,K05,5,3,553135.41,Lost,0,1,
T0056,2024-11-12,2025-01-15,R08,K10,5,3,900441.49,Lost,0,1,
T0057,2024-01-17,2024-03-05,R01,K03,4,3,207667.17,Won,1,1,C0017
T0058,2024-07-21,2024-09-25,R03,K10,5,3,359763.31,Lost,0,1,
T0059,2024-03-09,2024-05-06,R03,K09,4,3,459781.29,Won,1,1,C0072
T0060,2024-06-25,2024-09-27,R01,K11,5,3,386518.96,Lost,0,1,
T0061,2024-09-13,2024-12-06,R03,K10,5,3,490284.37,Lost,0,1,
T0062,2025-07-10,2025-08-07,R07,K05,5,3,2694056.07,Lost,0,1,
T0063,2025-11-07,2025-12-31,R04,K05,5,3,254618.22,Lost,0,1,
T0064,2024-02-21,2024-05-02,R02,K08,5,3,391837.9,Lost,0,1,
T0065,2025-01-10,2025-03-11,R07,K05,5,3,1452666.82,Lost,0,1,
T0066,2025-09-06,2025-11-06,R03,K08,5,3,326665.35,Lost,0,1,
T0067,2025-12-23,,R04,K02,2,2,430197.82,In progress,0,0,
T0068,2024-01-19,2024-04-22,R05,K04,5,1,683490.97,Lost,0,1,
T0069,2025-01-03,2025-03-03,R02,K06,4,3,244870.33,Won,1,1,C0204
T0070,2024-01-15,2024-03-07,R04,K01,5,1,410671.74,Lost,0,1,
T0071,2025-03-23,2025-05-17,R01,K07,4,3,623071.72,Won,1,1,C0274
T0072,2024-03-14,2024-06-12,R01,K02,5,3,280951.41,Lost,0,1,
T0073,2025-02-19,2025-03-18,R05,K04,5,3,569837.95,Lost,0,1,
T0074,2025-07-24,,R06,K11,3,3,886077.03,In progress,0,0,
T0075,2025-04-28,2025-08-02,R01,K05,5,3,217435.18,Lost,0,1,
T0076,2024-01-22,2024-02-25,R03,K07,5,3,545120.19,Lost,0,1,
T0077,2024-12-05,2025-02-18,R02,K05,5,3,644686.35,Lost,0,1,
T0078,2025-02-09,2025-03-12,R06,K07,5,3,624216.24,Lost,0,1,
T0079,2024-03-23,2024-05-13,R02,K04,4,3,295586.08,Won,1,1,C0088
T0080,2024-03-10,2024-06-13,R05,K12,5,3,679013.24,Lost,0,1,
T0081,2024-03-03,2024-04-07,R01,K10,5,3,444671.63,Lost,0,1,
T0082,2025-02-18,2025-03-17,R05,K12,5,3,562757.11,Lost,0,1,
T0083,2025-11-12,2025-12-31,R07,K06,4,3,551632.77,Won,1,1,C0388
T0084,2025-03-22,2025-06-13,R03,K10,4,3,179879.62,Won,1,1,C0270
T0085,2024-04-08,2024-05-24,R04,K11,4,3,606357.34,Won,1,1,C0100
T0086,2024-02-07,2024-05-02,R05,K07,5,3,410121.83,Lost,0,1,
T0087,2025-12-16,2025-12-31,R02,K07,5,3,183681.38,Lost,0,1,
T0088,2025-11-04,2025-12-03,R08,K12,5,3,2251403.69,Lost,0,1,
T0089,2024-10-31,2025-02-01,R03,K06,4,3,553708.83,Won,1,1,C0175
T0090,2024-10-03,2024-11-03,R06,K01,5,3,1256413.65,Lost,0,1,
T0091,2025-01-13,2025-04-07,R04,K10,5,2,234496.06,Lost,0,1,
T0092,2024-06-25,2024-09-17,R03,K03,5,3,411352.2,Lost,0,1,
T0093,2025-10-31,,R08,K11,3,3,143919.19,In progress,0,0,
T0094,2025-05-05,2025-07-30,R04,K02,4,3,472722.54,Won,1,1,C0299
T0095,2025-05-19,2025-07-14,R01,K03,4,3,937269.74,Won,1,1,C0306
T0096,2024-02-05,2024-04-30,R04,K02,4,3,212860.3,Won,1,1,C0031
T0097,2025-08-11,2025-10-14,R06,K02,5,1,1071423.93,Lost,0,1,
T0098,2024-01-31,2024-02-28,R01,K06,5,3,563745.84,Lost,0,1,
T0099,2024-01-19,2024-02-12,R02,K10,5,3,190652.89,Lost,0,1,
T0100,2024-03-19,2024-05-06,R06,K04,5,3,1574759.94,Lost,0,1,
T0101,2025-09-23,2025-12-06,R08,K07,4,3,1219115.87,Won,1,1,C0362
T0102,2025-09-14,,R03,K05,3,3,352523.07,In progress,0,0,
T0103,2024-03-01,2024-04-02,R02,K01,4,3,192548.47,Won,1,1,C0061
T0104,2024-01-16,2024-02-25,R04,K06,4,3,312376.84,Won,1,1,C0015
T0105,2025-02-01,2025-03-25,R03,K03,5,3,321315.94,Lost,0,1,
T0106,2024-09-04,2024-10-04,R07,K10,5,3,456689.9,Lost,0,1,
T0107,2024-01-09,2024-03-23,R01,K02,4,3,424125.9,Won,1,1,C0009
T0108,2025-01-12,2025-02-15,R04,K08,4,3,389512.98,Won,1,1,C0209
T0109,2025-06-15,2025-07-14,R07,K09,5,3,436283.03,Lost,0,1,
T0110,2024-01-21,2024-04-23,R08,K04,4,3,452296.65,Won,1,1,C0022
T0111,2025-07-27,2025-08-30,R08,K02,5,3,203988.12,Lost,0,1,
T0112,2025-01-15,2025-04-04,R05,K03,5,3,375488.1,Lost,0,1,
T0113,2025-05-25,2025-07-19,R07,K06,5,3,680538.02,Lost,0,1,
