supplier_id,supplier_name,supplier_type
1,Northbridge Aggregates,Groundworks
2,Ironclad Steelworks,Steelworks
3,Merrow Groundworks,Groundworks
4,Calder M&E Services,M&E
5,Ashfield Plant Hire,Plant Hire
6,Riverstone Design Partners,Design Consultancy
7,Coastal Materials Supply,Materials Supply
8,Draymoor Civils,Groundworks
9,Vantage M&E Solutions,M&E
10,Northmoor Plant & Tool Hire,Plant Hire
11,Sterling Steel Fabrication,Steelworks
12,Oldport Design Consultancy,Design Consultancy
13,Fenwick Materials Group,Materials Supply
14,Harcourt Groundworks,Groundworks
15,Blackstone Plant Hire,Plant Hire
