project_id,date_key,planned_value,earned_value,actual_cost
1,2024-01-31,201488.32,193284.79,197538.79
1,2024-02-29,507587.98,478249.61,483561.02
1,2024-03-31,939411.37,878548.36,884353.24
1,2024-04-30,1506650.25,1412058.33,1416203.64
1,2024-05-31,2251275.29,2121991.92,2168457.01
1,2024-06-30,3100524.21,2930491.96,2979288.95
1,2024-07-31,4013367.41,3730260.78,3843527.24
1,2024-08-31,4952290.11,4647218.15,4788999.77
1,2024-09-30,5579247.79,5274384.37,5410443.25
1,2024-10-31,6192853.67,5865970.27,5902547.48
1,2024-11-30,6645019.05,6276936.35,6421872.85
1,2024-12-31,6825936.21,6441466.26,6625558.94
1,2025-01-31,7095000.0,6829073.14,6875118.23
2,2024-01-31,158420.02,161237.93,179008.85
2,2024-02-29,441223.38,435032.28,491448.88
2,2024-03-31,862665.64,840720.9,930509.97
2,2024-04-30,1450604.38,1467118.29,1635971.15
2,2024-05-31,2036961.28,2041855.3,2206912.0
2,2024-06-30,2690134.69,2741554.16,3060920.18
2,2024-07-31,3120256.87,3141880.84,3509654.76
2,2024-08-31,3330203.57,3364307.46,3723375.32
2,2024-09-30,3514523.21,3506205.5,3952551.71
3,2024-02-29,314364.42,269010.9,324308.31
3,2024-03-31,767713.84,668748.58,806372.07
3,2024-04-30,1381938.08,1168652.52,1399379.15
3,2024-05-31,2288085.49,1976205.6,2399471.32
3,2024-06-30,3333259.73,2851422.58,3406100.25
3,2024-07-31,4604321.1,4022636.62,4738279.57
3,2024-08-31,5941339.76,5178906.16,6236524.32
3,2024-09-30,7394939.62,6488807.48,7810729.97
3,2024-10-31,8702616.61,7616885.34,9284430.75
3,2024-11-30,9750186.51,8572528.88,10233275.52
3,2024-12-31,10514785.77,9051099.05,10828525.61
3,2025-01-31,11345859.45,10071388.92,12197339.69
3,2025-02-28,11651804.06,10071388.92,12197339.69
3,2025-03-31,12042000.0,10475656.28,12412749.38
4,2024-11-30,604075.73,638470.65,593915.25
4,2024-12-31,1646036.98,1699064.76,1555625.27
4,2025-02-28,3308135.28,3448705.06,3188866.56
4,2025-04-30,7925498.93,8272817.43,7647507.18
4,2025-06-30,11576246.67,12366521.34,11580759.6
4,2025-07-31,13344000.0,13344000.0,12235559.66
5,2024-07-31,180897.4,204355.32,199044.6
5,2024-08-31,488639.65,575413.17,557251.45
5,2024-09-30,983078.67,1127960.69,1090671.8
5,2024-10-31,1633992.82,1897225.54,1844063.6
5,2024-11-30,2350479.43,2796424.73,2703698.8
5,2024-12-31,2937964.77,3462526.81,3391727.49
5,2025-01-31,3473965.63,3986000.0,3819617.13
5,2025-02-28,3827109.25,3986000.0,3819617.13
5,2025-03-31,3935864.39,3986000.0,3865512.88
6,2024-06-30,125513.23,115861.14,99558.2
6,2024-07-31,343328.9,306454.15,267437.93
6,2024-08-31,688483.45,609389.98,525418.09
6,2024-09-30,1138130.77,1019489.6,871881.76
6,2024-10-31,1653899.5,1510864.93,1281711.59
6,2024-11-30,2103338.02,1865831.19,1593471.14
6,2024-12-31,2449452.32,2206038.22,1907225.95
6,2025-01-31,2648324.65,2424076.42,2068665.99
6,2025-02-28,2804000.0,2546356.64,2196853.08
7,2025-05-31,556043.31,558509.69,552086.37
7,2025-06-30,1284096.02,1308108.77,1291677.51
7,2025-07-31,2223863.52,2221420.67,2165772.84
7,2025-08-31,3489482.06,3546277.4,3509418.12
7,2025-09-30,4907190.57,4861843.98,4800971.25
7,2025-10-31,6753350.25,6957992.03,6824909.35
7,2025-11-30,8965760.37,9215477.6,9027215.81
8,2024-02-29,184801.35,186031.08,168609.49
8,2024-03-31,483291.21,471153.38,434333.57
8,2024-04-30,923653.36,910063.4,831574.9
8,2024-05-31,1552562.12,1557010.39,1433580.19
8,2024-06-30,2291603.85,2288201.76,2066664.44
8,2024-07-31,3043911.03,3044905.58,2723508.54
8,2024-08-31,3597059.74,3550574.86,3239540.18
8,2024-09-30,4161797.11,4161116.06,3888281.63
8,2024-10-31,4465121.28,4375626.0,3921680.58
8,2024-11-30,4616000.0,4601566.93,4171625.18
9,2023-10-31,221541.13,226955.52,235134.73
9,2023-11-30,593258.7,625410.03,644339.71
9,2023-12-31,1165760.18,1183959.18,1207887.59
9,2024-01-31,1905141.27,1955590.46,2013132.03
9,2024-02-29,2829072.39,2899760.14,2977297.13
9,2024-03-31,3751664.88,3883242.88,4053060.47
9,2024-04-30,4454830.59,4679276.95,4845837.88
9,2024-05-31,5029503.77,5099072.02,5290656.28
9,2024-06-30,5345866.0,5554745.24,5701985.51
9,2024-07-31,5641000.0,5641000.0,5952965.97
10,2023-02-28,659101.54,735712.56,791104.49
10,2023-03-31,1620910.0,1779111.64,1894347.83
10,2023-04-30,2981746.17,3225502.55,3465420.79
10,2023-05-31,4909297.92,5400785.65,5701310.49
10,2023-06-30,7258065.83,7977759.09,8462860.29
10,2023-07-31,10117366.62,11187569.38,11736373.04
10,2023-08-31,13026849.33,14160196.82,14903613.86
10,2023-09-30,15627118.85,17447151.06,18802310.03
10,2023-10-31,17822125.45,19346633.12,20461416.17
10,2023-11-30,20113249.16,22390758.84,23277795.32
10,2023-12-31,21334195.97,22947000.0,24127227.55
