project_id,supplier_id,category_id,baseline_estimate,committed_value,actual_spend,savings
1,4,2,207416.9,208124.6,206699.13,717.76
1,3,1,1671063.01,1721000.64,1592299.15,78763.86
1,5,6,1725310.15,1682576.96,1766331.64,-41021.49
1,10,4,1091745.71,1043804.27,964977.38,126768.33
2,14,3,99439.1,98851.81,98160.24,1278.87
2,5,6,942047.12,914510.8,888667.02,53380.1
2,2,2,1032341.8,1057521.75,1054269.43,-21927.63
2,13,1,183065.05,179267.79,169070.94,13994.11
3,6,3,3345983.84,3330909.19,3347823.59,-1839.75
3,15,4,807741.59,799889.59,756523.79,51217.81
3,10,6,5547602.52,5508817.24,5165136.46,382466.06
4,12,6,3610586.24,3644256.84,3170539.99,440046.25
4,1,1,3420873.12,3431828.37,3260652.72,160220.41
4,8,4,1588895.93,1450249.39,1436410.12,152485.81
4,15,3,822566.26,851770.97,706588.48,115977.78
4,5,5,1618150.26,1519861.12,1581457.22,36693.04
5,12,1,689262.01,648577.22,606823.33,82438.68
5,13,2,243566.47,257219.32,261350.16,-17783.69
5,14,3,477575.81,494027.48,469516.9,8058.91
5,3,4,694922.01,673717.47,677352.27,17569.74
5,10,5,654868.57,690856.22,697688.11,-42819.54
6,14,3,850806.89,799781.55,765985.16,84821.73
6,2,5,405169.57,395181.04,429659.74,-24490.17
6,6,2,519528.16,529988.45,558933.87,-39405.71
7,5,2,8376856.15,8209577.2,7517118.29,859737.87
7,2,3,2649654.33,2580898.32,2376073.02,273581.3
7,9,1,4672249.75,4735830.53,4932315.59,-260065.84
7,14,5,1373445.05,1361036.61,1272795.08,100649.98
7,4,4,721635.92,722918.11,658055.91,63580.01
8,5,3,1159610.97,1099335.36,1078766.12,80844.85
8,9,2,867923.74,912583.5,882931.84,-15008.1
8,8,4,1697368.96,1716979.51,1815638.05,-118269.09
9,6,5,771871.17,800125.78,757933.29,13937.89
9,15,3,1325089.36,1312559.61,1354475.19,-29385.83
9,13,4,563248.32,548526.89,492163.66,71084.66
9,14,6,796500.45,800585.46,624016.89,172483.56
9,11,1,116371.01,117004.11,103797.98,12573.03
10,13,4,3483934.54,3599478.4,3437583.06,46351.48
10,8,6,2124990.75,2054697.5,2206277.59,-81286.84
10,11,5,9301987.27,9264833.12,8202775.81,1099211.46
11,10,3,1233203.41,1177264.18,1135612.31,97591.1
11,12,2,2457416.73,2439154.89,2311667.93,145748.8
11,2,6,2084087.77,2094285.99,2312144.73,-228056.95
11,15,4,2927525.32,2854731.81,2716617.62,210907.7
11,4,5,1059797.63,1014489.71,985902.54,73895.08
12,14,5,4861429.3,4798169.98,4602503.76,258925.54
12,12,4,6753921.63,6965931.9,7297346.81,-543425.18
12,8,6,6251023.02,6139881.37,6016056.87,234966.15
13,12,3,1830761.1,1883486.95,1691727.44,139033.66
13,8,6,1828257.41,1802480.15,1598762.57,229494.84
13,9,5,2790637.71,2820209.81,2485165.86,305471.86
13,2,4,425607.38,428438.27,432397.5,-6790.12
14,14,4,1137267.17,1099660.98,1074286.16,62981.02
14,1,5,1692140.32,1654649.07,1644521.29,47619.03
14,4,6,1327085.47,1305938.54,1217333.09,109752.38
14,7,3,258874.43,245740.98,257199.2,1675.23
15,7,2,848628.06,848591.87,782138.1,66489.96
15,3,6,962198.27,876697.99,938613.31,23584.97
15,4,1,665387.57,635466.65,596888.66,68498.91
16,6,1,813528.57,810362.91,822909.81,-9381.24
16,3,2,896422.02,872929.94,948230.71,-51808.68
16,1,3,387972.29,388546.71,392173.56,-4201.27
16,4,5,628174.8,642470.74,668615.25,-40440.45
17,15,1,3364701.59,3408084.96,3099755.02,264946.57
17,10,4,5728227.34,5913278.81,5544599.32,183628.02
17,9,5,1400803.92,1422068.11,1308899.98,91903.94
18,9,2,760551.95,729975.48,679551.65,81000.29
18,4,6,289999.29,292532.16,290193.56,-194.27
18,2,5,284825.9,279414.38,215090.56,69735.34
18,8,3,206620.63,201671.59,189066.34,17554.28
18,15,4,467038.59,474807.37,438781.28,28257.31
19,9,3,40499.13,40534.16,41197.02,-697.89
19,5,1,1023678.82,964264.63,969222.49,54456.33
19,10,6,702565.59,715003.49,724160.79,-21595.2
19,8,4,344323.98,345662.23,352115.72,-7791.73
19,12,2,770792.52,781804.95,782713.45,-11920.93
20,7,3,493828.99,494214.62,493958.3,-129.31
20,14,6,2801138.24,2950898.68,2376965.79,424172.44
20,3,1,580831.65,579916.51,495444.7,85386.95
20,13,2,824132.97,819717.89,916411.58,-92278.62
21,7,5,4813762.11,4911106.63,4238412.22,575349.89
21,8,1,7968879.18,8231759.08,8205246.53,-236367.34
21,1,2,1933647.73,2056529.37,1697394.39,236253.34
21,3,3,936501.82,934412.82,852386.52,84115.3
22,13,2,1547823.73,1564331.73,1399059.64,148764.1
22,6,5,2085496.55,2118930.52,2097879.17,-12382.61
22,4,6,546939.25,539705.1,489560.67,57378.58
22,8,4,1492129.93,1523871.45,1658758.49,-166628.56
22,2,1,577677.12,562005.22,472965.58,104711.54
23,3,3,7902509.16,7881994.52,7709980.89,192528.27
23,12,2,7700173.55,7663929.42,7502216.93,197956.62
23,9,5,2494674.15,2390421.26,2317575.76,177098.38
