student_id,study_hours_per_week,attendance_rate,sleep_hours,prior_gpa,extracurricular_hours,study_method,exam_score
S0001,13.28,66.5,7.48,3.38,1,Group study,53.2
S0002,6.53,77.5,6.68,2.79,3,Self-study,58.6
S0003,15.69,92.8,6.81,3.62,5,Self-study,92.0
S0004,8.39,82.9,5.91,3.18,4,Self-study,67.3
S0005,11.22,70.1,8.14,2.94,3,Self-study,56.9
S0006,10.52,86.8,7.34,3.16,5,Self-study,64.7
S0007,20.99,85.0,5.8,2.95,5,Self-study,90.0
S0008,16.74,84.7,5.64,2.79,5,Group study,63.7
S0009,15.12,90.5,5.98,3.19,4,Tutoring,92.3
S0010,12.92,91.9,7.12,3.36,4,Group study,81.0
S0011,13.21,90.0,5.17,2.87,3,Self-study,64.6
S0012,9.32,74.4,8.57,2.64,6,Self-study,59.1
S0013,4.93,67.9,7.24,2.97,6,Self-study,51.8
S0014,15.33,80.2,6.1,3.4,3,Self-study,85.7
S0015,6.64,55.7,5.85,2.88,5,Tutoring,67.0
S0016,14.9,78.6,6.81,3.32,3,Self-study,64.8
S0017,13.92,73.8,6.23,2.86,2,Self-study,68.6
S0018,14.05,77.0,6.68,3.23,5,Tutoring,72.5
S0019,14.79,83.0,6.2,3.04,1,Self-study,86.6
S0020,5.92,51.2,5.77,2.8,3,Self-study,45.0
S0021,10.41,93.7,6.61,3.29,2,Self-study,88.7
S0022,11.14,65.3,6.34,3.21,1,Group study,71.6
S0023,13.82,86.3,6.08,2.49,4,Group study,64.8
S0024,9.78,82.4,6.94,3.55,3,Self-study,69.7
S0025,7.7,79.5,7.25,3.4,6,Tutoring,67.5
S0026,13.5,96.1,5.56,2.83,2,Tutoring,70.7
S0027,10.36,56.4,7.43,2.81,1,Tutoring,67.5
S0028,7.73,81.5,7.96,3.69,11,Self-study,61.7
S0029,13.74,68.0,4.2,2.98,3,Self-study,51.0
S0030,10.26,70.0,6.64,3.3,4,Tutoring,70.8
S0031,11.33,64.0,4.81,2.63,4,Self-study,47.8
S0032,19.43,89.6,7.62,3.13,1,Group study,81.6
S0033,7.95,65.0,9.29,2.62,5,Group study,55.1
S0034,8.21,89.2,7.5,2.89,4,Self-study,62.4
S0035,9.25,84.7,6.45,2.44,2,Group study,83.0
S0036,12.72,96.3,7.13,3.09,4,Tutoring,82.2
S0037,17.49,89.1,6.13,3.61,5,Group study,89.5
S0038,18.45,89.4,5.17,2.64,7,Self-study,62.9
S0039,19.24,86.2,6.05,3.78,2,Tutoring,88.1
S0040,8.24,86.1,6.58,2.88,4,Group study,72.1
S0041,13.42,95.7,7.01,3.39,0,Group study,76.8
S0042,11.8,68.0,5.33,2.53,3,Tutoring,74.3
S0043,15.85,64.8,6.52,2.87,3,Group study,64.6
S0044,16.21,91.2,8.2,3.2,2,Self-study,79.7
S0045,11.06,83.8,7.07,2.58,4,Self-study,63.7
S0046,12.96,99.1,9.17,2.98,3,Self-study,79.3
S0047,5.85,64.6,7.34,3.23,3,Group study,60.3
S0048,9.25,40.7,6.48,2.35,3,Group study,53.1
S0049,8.32,76.1,4.95,2.2,9,Group study,56.9
S0050,6.59,56.3,8.97,3.96,2,Self-study,62.4
S0051,10.45,84.5,8.86,2.69,3,Group study,74.8
S0052,15.26,89.5,6.29,3.07,1,Tutoring,85.4
S0053,11.0,76.6,7.07,2.75,5,Self-study,66.5
S0054,16.25,87.4,7.04,3.2,4,Group study,79.5
S0055,8.97,82.8,6.85,3.71,8,Group study,82.2
S0056,13.62,71.7,5.39,3.4,5,Group study,74.0
S0057,14.02,54.6,7.57,3.19,2,Self-study,67.1
S0058,10.02,83.1,6.97,2.84,4,Group study,72.1
S0059,10.94,82.5,8.53,2.07,3,Tutoring,80.4
S0060,12.74,86.0,6.38,2.35,5,Group study,60.7
S0061,19.25,65.7,7.3,3.08,3,Tutoring,87.0
S0062,7.58,71.3,8.41,3.12,8,Tutoring,54.0
S0063,16.95,90.8,8.62,3.47,5,Self-study,85.6
S0064,10.75,81.2,6.07,3.3,2,Group study,87.9
S0065,15.29,82.3,7.97,3.46,7,Self-study,82.8
S0066,15.07,59.3,6.42,2.55,3,Tutoring,71.5
S0067,18.35,93.2,5.82,2.83,4,Self-study,76.6
S0068,6.89,64.6,7.29,3.24,5,Self-study,63.6
S0069,2.38,75.4,7.31,2.85,8,Tutoring,59.1
S0070,3.33,61.2,7.76,2.09,7,Self-study,42.1
S0071,13.55,92.1,6.19,3.39,6,Group study,79.7
S0072,12.98,85.5,7.09,2.73,3,Self-study,73.8
S0073,11.36,85.8,8.0,2.65,3,Tutoring,68.2
S0074,18.22,77.5,5.53,3.2,6,Tutoring,76.5
S0075,12.05,94.7,7.92,3.46,5,Self-study,69.1
S0076,21.78,88.0,4.11,3.83,3,Group study,94.4
S0077,12.45,94.8,5.12,2.53,1,Self-study,75.6
S0078,8.66,84.1,7.58,3.05,1,Group study,74.4
S0079,2.3,71.2,6.67,2.81,6,Group study,65.6
S0080,12.58,90.7,7.12,3.29,2,Tutoring,83.0
S0081,11.25,83.4,7.78,2.88,5,Self-study,73.4
S0082,10.88,78.7,7.77,2.24,1,Self-study,66.8
S0083,5.77,33.1,6.02,2.88,4,Group study,52.6
S0084,12.83,93.5,8.39,3.15,6,Group study,75.4
S0085,12.39,68.9,6.02,2.36,2,Self-study,80.9
S0086,10.5,89.7,8.9,2.57,4,Self-study,65.5
S0087,7.63,83.5,6.89,2.17,6,Self-study,54.9
S0088,9.46,70.3,5.63,2.56,5,Tutoring,68.9
S0089,11.21,85.0,7.28,3.52,3,Self-study,78.8
S0090,5.8,88.8,6.8,3.26,5,Self-study,58.3
S0091,11.45,85.5,9.07,3.91,4,Tutoring,92.8
S0092,12.67,93.3,5.94,3.17,4,Self-study,76.7
S0093,13.32,70.2,4.85,2.1,2,Group study,55.5
S0094,10.07,75.1,9.04,3.45,2,Self-study,81.5
S0095,13.46,77.2,6.37,3.08,5,Tutoring,81.8
S0096,10.58,92.0,5.69,2.95,10,Group study,63.5
S0097,12.94,95.7,7.03,3.35,4,Tutoring,97.4
S0098,11.28,68.5,7.23,2.62,5,Self-study,69.2
S0099,16.56,89.8,6.33,3.34,3,Group study,85.1
S0100,15.93,55.7,6.05,2.24,1,Group study,78.4
S0101,17.73,94.7,5.85,2.64,0,Self-study,81.3
S0102,9.72,98.5,7.66,2.89,5,Self-study,72.6
S0103,5.44,69.2,7.15,2.72,6,Self-study,53.4
S0104,13.45,90.5,6.04,3.4,8,Tutoring,86.8
S0105,7.93,62.0,8.38,2.81,7,Group study,65.6
S0106,10.14,94.6,7.19,3.13,7,Group study,76.3
S0107,10.48,64.5,6.25,3.03,1,Group study,63.4
S0108,14.68,76.6,7.93,2.21,2,Group study,71.1
S0109,4.92,59.0,7.28,2.65,4,Self-study,54.4
S0110,11.33,83.6,5.71,3.2,5,Self-study,62.8
